dir_X [deg],dir_Y [deg],normalized_mirror_response [1]
-0.0121377,0.218478,1.03909e-07
-0.0194203,0.220906,6.76334e-08
-0.0194203,0.225761,8.13886e-09
0.0072826,0.235471,3.75997e-09
0.00485507,0.237898,5.26078e-09
0.0267029,0.288877,9.97039e-08
0.0072826,0.257319,7.05601e-08
0.0291304,0.293732,1.15534e-07
-0.0801086,0.138369,0
-0.0534057,0.160217,1.13708e-09
-0.0509782,0.138369,4.23965e-08
-0.0412681,0.225761,4.51848e-08
-0.0145652,0.252464,2.34096e-09
-0.0121377,0.262174,4.48883e-09
-0.0169927,0.264601,0
0.0145652,0.303442,2.34566e-08
0.0121377,0.293732,5.13334e-09
-0.0825362,0.128659,0
-0.0631159,0.15779,0
-0.0606884,0.165072,0
-0.0606883,0.179638,0
-0.0485507,0.20634,1.28033e-08
-0.0412681,0.218478,7.1151e-09
-0.0339855,0.298587,8.99824e-10
-0.0412681,0.223333,1.11206e-08
-0.0267029,0.276739,7.25258e-10
-0.0291304,0.271884,2.14949e-09
-0.0121377,0.276739,2.13749e-09
-0.0072826,0.291304,4.99399e-09
-0.0072826,0.303442,1.15636e-08
-0.0873912,0.152935,0
-0.0825362,0.191775,0
-0.0703985,0.17721,0
-0.0801086,0.172355,0
-0.0752536,0.218478,7.96316e-09
-0.0606884,0.223333,2.80766e-09
-0.0461231,0.264601,7.34744e-10
-0.0388405,0.274311,4.57885e-09
-0.0485507,0.276739,3.80252e-09
-0.0339855,0.313152,0
-0.0242753,0.327717,0
-0.0267029,0.327717,0
-0.0946738,0.135942,0
-0.0801086,0.194203,0
-0.0752536,0.17721,0
-0.0873912,0.182065,0
-0.0703985,0.225761,0
-0.072826,0.208768,0
-0.067971,0.220906,0
-0.0534057,0.281594,2.25644e-09
-0.0558333,0.271884,7.79198e-09
-0.0606884,0.284021,0
-0.0631159,0.320434,0
-0.0534057,0.318007,0
-0.0946738,0.0995289,0
-0.0825362,0.145652,0
-0.0971014,0.172355,0
-0.0825362,0.237898,0
-0.0873912,0.20634,0
-0.0825362,0.237898,0
-0.0752536,0.267029,1.4093e-09
-0.072826,0.281594,5.69567e-09
-0.072826,0.310724,0
-0.0752536,0.330145,0
-0.0971014,0.14808,0
-0.0971014,0.17721,0
-0.0898188,0.179638,0
-0.0946738,0.242753,7.33787e-10
-0.0922463,0.220906,0
-0.0898188,0.237898,0
-0.0922463,0.284021,7.54504e-10
-0.0946738,0.284021,0
-0.0946738,0.284021,0
-0.0898188,0.330145,0
-0.101956,0.332572,0
-0.0849637,0.330145,0
-0.0995289,0.14808,0
-0.109239,0.150507,0
-0.106811,0.182065,0
-0.104384,0.211195,0
-0.104384,0.228188,0
-0.106811,0.301014,0
-0.109239,0.281594,0
-0.111667,0.271884,0
-0.118949,0.322862,0
-0.109239,0.332572,0
-0.111667,0.327717,0
-0.101956,0.135942,0
-0.121377,0.184493,0
-0.118949,0.182065,0
-0.114094,0.17721,0
-0.114094,0.220906,0
-0.111667,0.233043,0
-0.116522,0.228188,0
-0.131087,0.281594,0
-0.131087,0.288877,0
-0.131087,0.281594,0
