dir_X [deg],dir_Y [deg],normalized_mirror_response [1]
-0.0121377,0.218478,2.02628e-08
-0.0194203,0.220906,1.37706e-08
-0.0194203,0.225761,1.81786e-08
0.0072826,0.235471,2.05656e-08
0.00485507,0.237898,2.32793e-08
0.0267029,0.288877,2.39505e-08
0.0072826,0.257319,2.26422e-08
0.0291304,0.293732,1.72915e-08
-0.0801086,0.138369,2.59423e-08
-0.0534057,0.160217,2.7192e-08
-0.0509782,0.138369,2.16051e-08
-0.0412681,0.225761,2.22216e-08
-0.0145652,0.252464,2.32276e-08
-0.0121377,0.262174,1.9741e-08
-0.0169927,0.264601,2.33885e-08
0.0145652,0.303442,2.42728e-08
0.0121377,0.293732,2.13911e-08
-0.0825362,0.128659,3.59928e-08
-0.0631159,0.15779,1.8233e-08
-0.0606884,0.165072,1.3381e-08
-0.0606883,0.179638,1.40817e-08
-0.0485507,0.20634,2.13557e-08
-0.0412681,0.218478,2.19237e-08
-0.0339855,0.298587,1.69533e-08
-0.0412681,0.223333,1.26312e-08
-0.0267029,0.276739,2.24558e-08
-0.0291304,0.271884,2.2239e-08
-0.0121377,0.276739,1.90372e-08
-0.0072826,0.291304,1.68158e-08
-0.0072826,0.303442,1.8085e-08
-0.0873912,0.152935,2.34614e-08
-0.0825362,0.191775,1.32219e-08
-0.0703985,0.17721,0
-0.0801086,0.172355,9.38815e-09
-0.0752536,0.218478,2.33406e-08
-0.0606884,0.223333,1.92302e-08
-0.0461231,0.264601,2.20342e-08
-0.0388405,0.274311,1.98614e-08
-0.0485507,0.276739,2.11406e-08
-0.0339855,0.313152,1.7829e-08
-0.0242753,0.327717,2.00981e-08
-0.0267029,0.327717,2.0478e-08
-0.0946738,0.135942,3.02071e-08
-0.0801086,0.194203,1.50938e-08
-0.0752536,0.17721,0
-0.0873912,0.182065,1.02923e-08
-0.0703985,0.225761,1.44406e-08
-0.072826,0.208768,1.86715e-08
-0.067971,0.220906,1.32693e-08
-0.0534057,0.281594,2.05024e-08
-0.0558333,0.271884,2.22878e-08
-0.0606884,0.284021,1.97454e-08
-0.0631159,0.320434,1.81711e-08
-0.0534057,0.318007,1.75471e-08
-0.0946738,0.0995289,1.19919e-08
-0.0825362,0.145652,1.1729e-08
-0.0971014,0.172355,0
-0.0825362,0.237898,1.96253e-08
-0.0873912,0.20634,1.53175e-08
-0.0825362,0.237898,2.21546e-08
-0.0752536,0.267029,1.59394e-08
-0.072826,0.281594,2.05862e-08
-0.072826,0.310724,1.66187e-08
-0.0752536,0.330145,1.81796e-08
-0.0971014,0.14808,2.31952e-08
-0.0971014,0.17721,0
-0.0898188,0.179638,5.61185e-09
-0.0946738,0.242753,2.07851e-08
-0.0922463,0.220906,1.92709e-08
-0.0898188,0.237898,1.99856e-08
-0.0922463,0.284021,1.94923e-08
-0.0946738,0.284021,2.10511e-08
-0.0946738,0.284021,2.18538e-08
-0.0898188,0.330145,1.81491e-08
-0.101956,0.332572,1.53119e-08
-0.0849637,0.330145,2.05208e-08
-0.0995289,0.14808,1.67629e-08
-0.109239,0.150507,1.26049e-08
-0.106811,0.182065,1.16987e-08
-0.104384,0.211195,1.76529e-08
-0.104384,0.228188,1.59812e-08
-0.106811,0.301014,2.08559e-08
-0.109239,0.281594,1.93468e-08
-0.111667,0.271884,1.92635e-08
-0.118949,0.322862,2.06804e-08
-0.109239,0.332572,1.65819e-08
-0.111667,0.327717,1.87643e-08
-0.101956,0.135942,2.8184e-08
-0.121377,0.184493,1.62923e-08
-0.118949,0.182065,1.53417e-08
-0.114094,0.17721,1.45523e-08
-0.114094,0.220906,1.89941e-08
-0.111667,0.233043,1.76985e-08
-0.116522,0.228188,1.96894e-08
-0.131087,0.281594,1.61948e-08
-0.131087,0.288877,1.6266e-08
-0.131087,0.281594,2.03396e-08
-0.126232,0.335,1.72994e-08
-0.140797,0.342282,1.91696e-08
-0.140797,0.332572,1.95236e-08
-0.116522,0.150507,1.55209e-08
-0.118949,0.104384,1.60281e-08
-0.126232,0.199058,1.98374e-08
-0.123804,0.172355,1.96698e-08
-0.140797,0.235471,1.65276e-08
-0.135942,0.223333,1.92341e-08
-0.145652,0.274311,1.6875e-08
-0.143225,0.286449,1.80379e-08
-0.143225,0.281594,1.57255e-08
-0.155362,0.34471,1.36103e-08
-0.152935,0.337427,1.62714e-08
-0.15779,0.335,2.0324e-08
-0.118949,0.0849637,1.66468e-08
-0.133514,0.208768,1.59176e-08
-0.135942,0.191775,1.34974e-08
-0.133514,0.179638,1.66992e-08
-0.14808,0.242753,1.45719e-08
-0.143225,0.216051,1.46601e-08
-0.128659,0.208768,1.2856e-08
-0.143225,0.267029,1.61186e-08
-0.150507,0.279166,1.78575e-08
-0.152935,0.271884,1.11302e-08
-0.218478,0.34471,2.10626e-08
-0.203913,0.335,1.33901e-08
-0.191775,0.320434,1.20561e-08
-0.106811,0.140797,1.4408e-08
-0.111667,0.133514,1.40587e-08
-0.109239,0.131087,1.21377e-08
-0.172355,0.174782,1.51473e-08
-0.14808,0.213623,1.43185e-08
-0.160217,0.223333,1.39014e-08
-0.135942,0.218478,1.51892e-08
-0.165072,0.259746,1.54781e-08
-0.172355,0.269456,1.31043e-08
-0.19663,0.313152,1.22296e-08
-0.189348,0.315579,1.15123e-08
-0.182065,0.313152,1.2512e-08
-0.150507,0.143225,2.74273e-08
-0.14808,0.169927,1.87148e-08
-0.150507,0.1675,1.47425e-08
-0.1675,0.225761,1.02869e-08
-0.1675,0.20634,1.19501e-08
-0.201485,0.254891,1.8006e-08
-0.172355,0.220906,1.77977e-08
-0.189348,0.247608,1.69837e-08
-0.194203,0.267029,1.50657e-08
-0.218478,0.303442,1.47078e-08
-0.216051,0.305869,1.45722e-08
-0.216051,0.308297,1.07062e-08
-0.133514,0.0898188,1.41892e-08
-0.15779,0.145652,1.28465e-08
-0.184493,0.20634,1.5233e-08
-0.182065,0.208768,1.21377e-08
-0.20634,0.242753,9.87739e-09
-0.184493,0.208768,1.15726e-08
-0.237898,0.284021,1.00976e-08
-0.213623,0.250036,1.75729e-08
-0.240326,0.305869,1.77771e-08
-0.240326,0.303442,1.76398e-08
-0.131087,0.138369,1.30854e-08
-0.128659,0.101956,1.24389e-08
-0.128659,0.118949,1.51855e-08
-0.169927,0.165072,1.92328e-08
-0.165072,0.162645,1.16569e-08
-0.191775,0.184493,1.42191e-08
-0.191775,0.19663,1.12728e-08
-0.228188,0.262174,1.32444e-08
-0.216051,0.250036,1.60821e-08
-0.218478,0.254891,1.30615e-08
-0.218478,0.296159,1.54105e-08
-0.257319,0.293732,1.34978e-08
-0.252464,0.286449,1.6966e-08
-0.0922463,0.189348,1.13585e-08
-0.169927,0.1675,1.85856e-08
-0.174782,0.160217,9.2574e-09
-0.172355,0.155362,1.65783e-08
-0.199058,0.194203,1.08747e-08
-0.203913,0.194203,1.63206e-08
-0.235471,0.240326,1.56954e-08
-0.230616,0.233043,1.31089e-08
-0.235471,0.225761,1.59639e-08
-0.274311,0.267029,1.45806e-08
-0.271884,0.274311,1.0959e-08
-0.269456,0.269456,1.49568e-08
-0.138369,0.114094,1.29468e-08
-0.174782,0.145652,1.50593e-08
-0.220906,0.19663,1.1663e-08
-0.213623,0.18692,1.29483e-08
-0.216051,0.18692,9.38199e-09
-0.252464,0.220906,1.24296e-08
-0.250036,0.223333,9.87737e-09
-0.247608,0.225761,1.60912e-08
-0.281594,0.276739,9.44887e-09
-0.279166,0.259746,1.0435e-08
-0.14808,0.0825362,8.7089e-09
-0.274311,0.250036,1.17762e-08
-0.140797,0.123804,1.13684e-08
-0.140797,0.140797,1.18875e-08
-0.143225,0.143225,1.03283e-08
-0.162645,0.145652,1.0463e-08
-0.152935,0.143225,8.33788e-09
-0.264601,0.1675,1.65213e-08
-0.247608,0.179638,1.17917e-08
-0.235471,0.18692,9.90915e-09
-0.254891,0.211195,8.44854e-09
-0.279166,0.259746,1.09016e-08
-0.257319,0.211195,1.22881e-08
-0.298587,0.262174,1.01791e-08
-0.298587,0.257319,1.00473e-08
-0.150507,0.116522,9.72697e-09
-0.182065,0.14808,1.3136e-08
-0.150507,0.118949,0
-0.184493,0.145652,1.05978e-08
-0.235471,0.174782,9.58506e-09
-0.237898,0.1675,1.07109e-08
-0.233043,0.172355,9.63015e-09
-0.271884,0.199058,9.18407e-09
-0.269456,0.194203,1.05295e-08
-0.318007,0.216051,9.31168e-09
-0.315579,0.230616,1.15528e-08
-0.315579,0.225761,1.23141e-08
-0.14808,0.116522,0
-0.194203,0.133514,1.07387e-08
-0.242753,0.15779,9.4327e-09
-0.250036,0.14808,1.0451e-08
-0.293732,0.174782,1.25859e-08
-0.228188,0.155362,8.76918e-09
-0.284021,0.184493,9.6127e-09
-0.286449,0.184493,8.40081e-09
-0.32529,0.211195,1.0219e-08
-0.322862,0.208768,8.5937e-09
-0.126232,0.131087,0
-0.199058,0.128659,8.17575e-09
-0.150507,0.104384,9.64444e-09
-0.194203,0.131087,1.04238e-08
-0.225761,0.133514,9.53706e-09
-0.242753,0.145652,7.38139e-09
-0.286449,0.165072,9.33104e-09
-0.242753,0.152935,1.14101e-08
-0.286449,0.165072,9.39573e-09
-0.335,0.172355,9.33104e-09
-0.330145,0.182065,9.95802e-09
-0.332572,0.182065,1.02543e-08
-0.0922463,0.0752536,6.69352e-09
-0.14808,0.0971014,7.00936e-09
-0.14808,0.0971014,0
-0.194203,0.118949,9.45779e-09
-0.199058,0.114094,8.73465e-09
-0.252464,0.145652,9.52872e-09
-0.247608,0.143225,9.25228e-09
-0.242753,0.128659,9.93643e-09
-0.301014,0.160217,9.41527e-09
-0.298587,0.14808,9.04578e-09
-0.339855,0.155362,8.49733e-09
-0.342282,0.160217,1.0002e-08
-0.34471,0.179638,8.96906e-09
-0.160217,0.101956,3.23169e-09
-0.155362,0.0849637,7.96143e-09
-0.199058,0.114094,9.84602e-09
-0.201485,0.116522,9.45613e-09
-0.203913,0.116522,9.13733e-09
-0.247608,0.121377,1.03855e-08
-0.247608,0.128659,9.03553e-09
-0.250036,0.126232,7.73355e-09
-0.252464,0.133514,7.0503e-09
-0.269456,0.133514,8.7516e-09
-0.342282,0.150507,5.4405e-09
-0.342282,0.150507,5.44436e-09
-0.342282,0.143225,7.25898e-09
-0.126232,0.131087,9.53409e-09
-0.145652,0.0825362,0
-0.15779,0.101956,0
-0.201485,0.0995289,8.07438e-09
-0.201485,0.0995289,9.71487e-09
-0.203913,0.106811,8.33638e-09
-0.201485,0.114094,6.71725e-09
-0.216051,0.109239,7.99979e-09
-0.235471,0.106811,7.27736e-09
-0.34471,0.109239,5.13228e-09
-0.332572,0.111667,7.12527e-09
-0.320434,0.133514,4.49392e-09
-0.349565,0.128659,7.21902e-09
-0.349565,0.131087,6.09253e-09
-0.0922463,0.0825362,7.21478e-09
-0.15779,0.0922463,7.6252e-09
-0.213623,0.0946738,6.94328e-09
-0.203913,0.0922463,5.82496e-09
-0.240326,0.0946738,4.66895e-09
-0.257319,0.0971014,7.56615e-09
-0.318007,0.101956,6.65567e-09
-0.303442,0.0995289,4.92611e-09
-0.303442,0.0971014,6.34445e-09
-0.366558,0.0995289,3.16998e-09
-0.351992,0.106811,6.91774e-09
-0.35442,0.106811,5.70581e-09
-0.118949,0.0971014,3.15513e-09
-0.162645,0.0971014,0
-0.15779,0.0898188,0
-0.20634,0.0801086,3.19715e-09
-0.20634,0.0873912,4.92611e-09
-0.20634,0.0825362,4.71287e-09
-0.259746,0.0898188,0
-0.257319,0.0801086,5.70149e-09
-0.254891,0.0849637,4.68359e-09
-0.301014,0.0849637,4.66018e-09
-0.308297,0.0849637,6.73599e-09
-0.305869,0.0873912,5.70937e-09
-0.351992,0.0801086,2.36889e-09
-0.35442,0.0849637,3.97496e-09
-0.359275,0.0849637,0
