dir_X [deg],dir_Y [deg],normalized_mirror_response [1]
-0.0121377,0.218478,1.91024e-08
-0.0194203,0.220906,6.61911e-09
-0.0194203,0.225761,1.90456e-08
0.0072826,0.235471,1.73429e-08
0.00485507,0.237898,2.06784e-08
0.0267029,0.288877,1.87876e-08
0.0072826,0.257319,1.70476e-08
0.0291304,0.293732,1.43368e-08
-0.0801086,0.138369,2.13436e-08
-0.0534057,0.160217,1.24377e-08
-0.0509782,0.138369,1.06714e-08
-0.0412681,0.225761,1.10076e-08
-0.0145652,0.252464,1.26228e-08
-0.0121377,0.262174,1.61461e-08
-0.0169927,0.264601,1.39547e-08
0.0145652,0.303442,1.32487e-08
0.0121377,0.293732,1.74833e-08
-0.0825362,0.128659,1.27566e-08
-0.0631159,0.15779,5.9742e-09
-0.0606884,0.165072,5.09311e-09
-0.0606883,0.179638,4.47814e-09
-0.0485507,0.20634,1.51123e-08
-0.0412681,0.218478,7.53509e-09
-0.0339855,0.298587,7.13778e-09
-0.0412681,0.223333,1.01218e-08
-0.0267029,0.276739,1.19619e-08
-0.0291304,0.271884,1.13899e-08
-0.0121377,0.276739,1.05144e-08
-0.0072826,0.291304,1.69205e-08
-0.0072826,0.303442,1.25364e-08
-0.0873912,0.152935,8.53462e-09
-0.0825362,0.191775,7.70247e-09
-0.0703985,0.17721,0
-0.0801086,0.172355,0
-0.0752536,0.218478,1.22964e-08
-0.0606884,0.223333,7.65894e-09
-0.0461231,0.264601,9.51083e-09
-0.0388405,0.274311,1.26469e-08
-0.0485507,0.276739,1.13993e-08
-0.0339855,0.313152,7.51401e-09
-0.0242753,0.327717,1.13491e-08
-0.0267029,0.327717,6.28381e-09
-0.0946738,0.135942,1.90766e-08
-0.0801086,0.194203,7.21478e-09
-0.0752536,0.17721,0
-0.0873912,0.182065,0
-0.0703985,0.225761,9.42841e-09
-0.072826,0.208768,7.93683e-09
-0.067971,0.220906,9.62787e-09
-0.0534057,0.281594,9.83962e-09
-0.0558333,0.271884,7.81612e-09
-0.0606884,0.284021,7.05832e-09
-0.0631159,0.320434,8.74472e-09
-0.0534057,0.318007,5.93567e-09
-0.0946738,0.0995289,9.67207e-09
-0.0825362,0.145652,9.30589e-09
-0.0971014,0.172355,0
-0.0825362,0.237898,8.48383e-09
-0.0873912,0.20634,5.97892e-09
-0.0825362,0.237898,6.58794e-09
-0.0752536,0.267029,1.01417e-08
-0.072826,0.281594,7.06153e-09
-0.072826,0.310724,6.39753e-09
-0.0752536,0.330145,5.06595e-09
-0.0971014,0.14808,0
-0.0971014,0.17721,0
-0.0898188,0.179638,0
-0.0946738,0.242753,8.04301e-09
-0.0922463,0.220906,7.02735e-09
-0.0898188,0.237898,1.16152e-08
