dir_X [deg],dir_Y [deg],normalized_mirror_response [1]
-0.0121377,0.218478,0
-0.0194203,0.220906,0
-0.0194203,0.225761,0
0.0072826,0.235471,0
0.00485507,0.237898,0
0.0267029,0.288877,1.5109e-09
0.0072826,0.257319,0
0.0291304,0.293732,0
-0.0801086,0.138369,9.96093e-09
-0.0534057,0.160217,0
-0.0509782,0.138369,0
-0.0412681,0.225761,1.61042e-09
-0.0145652,0.252464,0
-0.0121377,0.262174,0
-0.0169927,0.264601,0
0.0145652,0.303442,0
0.0121377,0.293732,0
-0.0825362,0.128659,1.5772e-08
-0.0631159,0.15779,0
-0.0606884,0.165072,0
-0.0606883,0.179638,0
-0.0485507,0.20634,0
-0.0412681,0.218478,0
-0.0339855,0.298587,0
-0.0412681,0.223333,0
-0.0267029,0.276739,0
-0.0291304,0.271884,1.46915e-09
-0.0121377,0.276739,1.48989e-09
-0.0072826,0.291304,1.47191e-09
-0.0072826,0.303442,0
-0.0873912,0.152935,1.61219e-08
-0.0825362,0.191775,0
-0.0703985,0.17721,0
-0.0801086,0.172355,0
-0.0752536,0.218478,0
-0.0606884,0.223333,0
-0.0461231,0.264601,0
-0.0388405,0.274311,0
-0.0485507,0.276739,0
-0.0339855,0.313152,0
-0.0242753,0.327717,0
-0.0267029,0.327717,1.62431e-09
-0.0946738,0.135942,0
-0.0801086,0.194203,0
-0.0752536,0.17721,0
-0.0873912,0.182065,0
-0.0703985,0.225761,0
-0.072826,0.208768,1.48941e-09
-0.067971,0.220906,0
-0.0534057,0.281594,0
-0.0558333,0.271884,0
-0.0606884,0.284021,0
-0.0631159,0.320434,1.50621e-09
-0.0534057,0.318007,0
-0.0946738,0.0995289,0
-0.0825362,0.145652,0
-0.0971014,0.172355,0
-0.0825362,0.237898,0
-0.0873912,0.20634,0
-0.0825362,0.237898,0
-0.0752536,0.267029,0
-0.072826,0.281594,0
-0.072826,0.310724,1.319e-09
-0.0752536,0.330145,0
-0.0971014,0.14808,0
-0.0971014,0.17721,0
-0.0898188,0.179638,0
-0.0946738,0.242753,0
-0.0922463,0.220906,1.5309e-09
-0.0898188,0.237898,0
-0.0922463,0.284021,0
-0.0946738,0.284021,0
-0.0946738,0.284021,0
-0.0898188,0.330145,0
-0.101956,0.332572,1.53697e-09
-0.0849637,0.330145,1.4793e-09
-0.0995289,0.14808,0
-0.109239,0.150507,0
-0.106811,0.182065,0
-0.104384,0.211195,0
-0.104384,0.228188,0
-0.106811,0.301014,0
-0.109239,0.281594,0
-0.111667,0.271884,0
-0.118949,0.322862,0
-0.109239,0.332572,0
-0.111667,0.327717,0
-0.101956,0.135942,3.95151e-09
-0.121377,0.184493,0
-0.118949,0.182065,0
-0.114094,0.17721,0
-0.114094,0.220906,0
-0.111667,0.233043,0
-0.116522,0.228188,1.53188e-09
-0.131087,0.281594,0
-0.131087,0.288877,0
-0.131087,0.281594,0
-0.126232,0.335,0
-0.140797,0.342282,0
-0.140797,0.332572,0
-0.116522,0.150507,2.17609e-09
-0.118949,0.104384,0
-0.126232,0.199058,0
-0.123804,0.172355,1.63502e-09
-0.140797,0.235471,0
-0.135942,0.223333,1.62584e-09
-0.145652,0.274311,0
-0.143225,0.286449,0
-0.143225,0.281594,0
-0.155362,0.34471,0
-0.152935,0.337427,1.41209e-09
-0.15779,0.335,0
-0.118949,0.0849637,0
-0.133514,0.208768,1.63463e-09
-0.135942,0.191775,0
-0.133514,0.179638,0
-0.14808,0.242753,0
-0.143225,0.216051,1.5093e-09
-0.128659,0.208768,1.58026e-09
-0.143225,0.267029,0
-0.150507,0.279166,0
-0.152935,0.271884,0
-0.218478,0.34471,0
-0.203913,0.335,0
-0.191775,0.320434,1.52664e-09
-0.106811,0.140797,0
-0.111667,0.133514,0
-0.109239,0.131087,0
-0.172355,0.174782,0
-0.14808,0.213623,1.51322e-09
-0.160217,0.223333,1.55664e-09
-0.135942,0.218478,0
-0.165072,0.259746,0
-0.172355,0.269456,1.55718e-09
-0.19663,0.313152,0
-0.189348,0.315579,0
-0.182065,0.313152,0
-0.150507,0.143225,0
-0.14808,0.169927,0
-0.150507,0.1675,0
-0.1675,0.225761,1.43943e-09
-0.1675,0.20634,0
-0.201485,0.254891,0
-0.172355,0.220906,0
-0.189348,0.247608,1.65804e-09
-0.194203,0.267029,1.62528e-09
-0.218478,0.303442,0
-0.216051,0.305869,0
-0.216051,0.308297,0
-0.133514,0.0898188,1.6364e-09
-0.15779,0.145652,2.8176e-09
-0.184493,0.20634,0
-0.182065,0.208768,0
-0.20634,0.242753,0
-0.184493,0.208768,1.61934e-09
-0.237898,0.284021,0
-0.213623,0.250036,0
-0.240326,0.305869,0
-0.240326,0.303442,0
-0.131087,0.138369,0
-0.128659,0.101956,0
-0.128659,0.118949,0
-0.169927,0.165072,1.34365e-09
-0.165072,0.162645,0
-0.191775,0.184493,0
-0.191775,0.19663,0
-0.228188,0.262174,0
-0.216051,0.250036,0
-0.218478,0.254891,0
-0.218478,0.296159,0
-0.257319,0.293732,0
-0.252464,0.286449,1.57758e-09
-0.0922463,0.189348,0
-0.169927,0.1675,1.5149e-09
-0.174782,0.160217,0
-0.172355,0.155362,0
-0.199058,0.194203,1.52885e-09
-0.203913,0.194203,0
-0.235471,0.240326,0
-0.230616,0.233043,0
-0.235471,0.225761,0
-0.274311,0.267029,1.4982e-09
-0.271884,0.274311,0
-0.269456,0.269456,0
-0.138369,0.114094,1.5855e-09
-0.174782,0.145652,1.46683e-09
-0.220906,0.19663,0
-0.213623,0.18692,0
-0.216051,0.18692,0
-0.252464,0.220906,0
-0.250036,0.223333,0
-0.247608,0.225761,1.57759e-09
-0.281594,0.276739,0
-0.279166,0.259746,2.20603e-09
-0.14808,0.0825362,2.14563e-09
-0.274311,0.250036,0
-0.140797,0.123804,0
-0.140797,0.140797,0
-0.143225,0.143225,0
-0.162645,0.145652,0
-0.152935,0.143225,0
-0.264601,0.1675,0
-0.247608,0.179638,1.53995e-09
-0.235471,0.18692,0
-0.254891,0.211195,0
-0.279166,0.259746,1.5199e-09
-0.257319,0.211195,0
-0.298587,0.262174,1.53888e-09
-0.298587,0.257319,1.5152e-09
-0.150507,0.116522,0
-0.182065,0.14808,0
-0.150507,0.118949,0
-0.184493,0.145652,1.39481e-09
-0.235471,0.174782,0
-0.237898,0.1675,0
-0.233043,0.172355,3.94456e-09
-0.271884,0.199058,0
-0.269456,0.194203,0
-0.318007,0.216051,5.01079e-09
-0.315579,0.230616,1.07369e-08
-0.315579,0.225761,1.56795e-09
-0.14808,0.116522,0
-0.194203,0.133514,0
-0.242753,0.15779,0
-0.250036,0.14808,1.46527e-09
-0.293732,0.174782,4.38279e-09
-0.228188,0.155362,1.55994e-09
-0.284021,0.184493,8.01802e-10
-0.286449,0.184493,0
-0.32529,0.211195,8.6312e-09
-0.322862,0.208768,2.03072e-08
-0.126232,0.131087,0
-0.199058,0.128659,0
-0.150507,0.104384,0
-0.194203,0.131087,0
-0.225761,0.133514,0
-0.242753,0.145652,0
-0.286449,0.165072,1.52638e-09
-0.242753,0.152935,1.59974e-09
-0.286449,0.165072,6.82666e-09
-0.335,0.172355,3.11323e-09
-0.330145,0.182065,9.94004e-09
-0.332572,0.182065,9.44843e-09
-0.0922463,0.0752536,0
-0.14808,0.0971014,0
-0.14808,0.0971014,0
-0.194203,0.118949,0
-0.199058,0.114094,0
-0.252464,0.145652,0
-0.247608,0.143225,0
-0.242753,0.128659,0
-0.301014,0.160217,6.16064e-09
-0.298587,0.14808,2.30857e-08
-0.339855,0.155362,2.28234e-09
-0.342282,0.160217,5.83992e-09
-0.34471,0.179638,4.88131e-09
-0.160217,0.101956,0
-0.155362,0.0849637,0
-0.199058,0.114094,1.48267e-09
-0.201485,0.116522,0
-0.203913,0.116522,0
-0.247608,0.121377,1.6378e-09
-0.247608,0.128659,0
-0.250036,0.126232,0
-0.252464,0.133514,0
-0.269456,0.133514,1.63943e-09
-0.342282,0.150507,1.32797e-08
-0.342282,0.150507,5.49321e-09
-0.342282,0.143225,1.95212e-08
-0.126232,0.131087,0
-0.145652,0.0825362,0
-0.15779,0.101956,0
-0.201485,0.0995289,0
-0.201485,0.0995289,1.58917e-09
-0.203913,0.106811,1.57064e-09
-0.201485,0.114094,0
-0.216051,0.109239,1.58043e-09
-0.235471,0.106811,0
-0.34471,0.109239,6.46498e-09
-0.332572,0.111667,8.45754e-09
-0.320434,0.133514,2.24959e-09
-0.349565,0.128659,7.28016e-09
-0.349565,0.131087,7.06504e-09
-0.0922463,0.0825362,0
-0.15779,0.0922463,0
-0.213623,0.0946738,0
-0.203913,0.0922463,0
-0.240326,0.0946738,0
-0.257319,0.0971014,0
-0.318007,0.101956,2.89248e-09
-0.303442,0.0995289,7.34928e-09
-0.303442,0.0971014,5.12057e-09
-0.366558,0.0995289,3.22347e-09
-0.351992,0.106811,7.43018e-09
-0.35442,0.106811,1.39912e-08
-0.118949,0.0971014,0
-0.162645,0.0971014,0
-0.15779,0.0898188,0
-0.20634,0.0801086,1.59398e-09
-0.20634,0.0873912,0
-0.20634,0.0825362,0
-0.259746,0.0898188,0
-0.257319,0.0801086,1.61283e-09
-0.254891,0.0849637,3.10554e-09
-0.301014,0.0849637,0
-0.308297,0.0849637,1.57064e-09
-0.305869,0.0873912,4.1058e-09
-0.351992,0.0801086,3.22235e-09
-0.35442,0.0849637,1.04779e-08
-0.359275,0.0849637,0
-0.15779,0.0946738,0
-0.15779,0.0873912,0
-0.203913,0.0801086,0
-0.257319,0.0825362,0
-0.259746,0.0776811,1.63614e-09
-0.271884,0.0703985,1.60685e-09
-0.298587,0.067971,1.56531e-09
-0.305869,0.0776811,1.5783e-09
-0.305869,0.067971,9.65676e-09
-0.356847,0.072826,1.68429e-09
-0.356847,0.067971,1.56531e-09
-0.155362,0.0631159,0
-0.162645,0.0703985,0
-0.15779,0.0655434,0
-0.203913,0.0825362,0
-0.208768,0.067971,0
-0.208768,0.067971,0
-0.252464,0.067971,1.59125e-09
-0.252464,0.0631159,0
-0.252464,0.0703985,0
-0.279166,0.0703985,0
-0.310724,0.0534057,1.60875e-09
-0.305869,0.0606884,0
-0.303442,0.0582608,1.53653e-09
-0.310724,0.0509782,4.79052e-09
-0.305869,0.0582608,0
-0.308297,0.0631159,1.59181e-09
-0.305869,0.0534057,1.75533e-09
-0.109239,0.0873912,0
-0.155362,0.0703985,0
-0.150507,0.0703985,0
-0.152935,0.0655434,0
-0.152935,0.0631159,0
-0.152935,0.0631159,0
-0.152935,0.0655434,0
-0.152935,0.0703985,0
-0.152935,0.0655434,0
-0.155362,0.0631159,0
-0.14808,0.0606884,0
-0.150507,0.0606884,0
-0.150507,0.0631159,0
-0.14808,0.0606884,0
-0.14808,0.0558333,0
-0.14808,0.0606884,0
-0.14808,0.0582608,0
-0.14808,0.0582608,0
-0.145652,0.0558333,0
-0.145652,0.0558333,0
-0.14808,0.0582608,0
-0.143225,0.0558333,0
-0.14808,0.0558333,0
-0.145652,0.0582608,0
-0.145652,0.0558333,0
-0.145652,0.0485507,0
-0.145652,0.0582608,0
-0.145652,0.0606884,0
-0.140797,0.0461231,0
-0.135942,0.0485507,0
-0.140797,0.0534057,0
-0.140797,0.0509782,0
-0.143225,0.0582608,0
-0.140797,0.0509782,0
-0.140797,0.0509782,0
-0.138369,0.0485507,0
-0.143225,0.0558333,0
-0.138369,0.0485507,0
-0.135942,0.0461231,0
-0.138369,0.0485507,0
-0.135942,0.0412681,0
-0.138369,0.0534057,0
-0.135942,0.0534057,0
-0.140797,0.036413,0
-0.138369,0.0461231,0
-0.140797,0.0509782,0
-0.140797,0.0631159,0
-0.140797,0.0485507,0
-0.114094,0.0776811,0
-0.15779,0.0655434,0
-0.111667,0.0922463,0
-0.15779,0.072826,0
-0.155362,0.0631159,0
-0.160217,0.0703985,0
-0.152935,0.0655434,0
-0.15779,0.072826,0
-0.150507,0.0655434,0
-0.15779,0.0703985,0
-0.152935,0.0703985,0
-0.150507,0.0582608,0
-0.150507,0.067971,0
-0.152935,0.067971,0
-0.152935,0.067971,0
-0.155362,0.0582608,0
-0.150507,0.0582608,0
