dir_X [deg],dir_Y [deg],normalized_mirror_response [1]
0.218478,-0.276739,5.32784e-06
-0.116522,-0.0558333,1.91824e-06
0.0315579,0.0145652,2.31053e-07
0.118949,-0.0436956,3.21858e-06
0.201485,-0.233043,6.47888e-06
0.111667,-0.036413,2.10814e-06
0.228188,-0.264601,4.71607e-06
0.111667,-0.0412681,2.78889e-06
0.189348,-0.101956,1.83473e-06
0.230616,-0.128659,2.70382e-06
0.143225,-0.0825362,6.62716e-06
0.191775,-0.0995289,2.11111e-06
0.235471,-0.128659,3.45941e-06
-0.123804,-0.067971,2.48776e-06
0.233043,-0.131087,3.21217e-06
0.271884,-0.162645,3.22071e-06
0.276739,-0.160217,2.92542e-06
0.310724,-0.18692,7.94343e-06
0.318007,-0.18692,7.19241e-06
0.0995289,-0.0121377,3.72123e-06
0.111667,-0.0072826,3.58962e-06
-0.131087,-0.0752536,2.11603e-06
0.0946738,0,4.65179e-06
0.0898188,0.0242753,5.24029e-06
0.201485,-0.0145652,1.01771e-05
0.223333,-0.0315579,7.77127e-06
0.318007,-0.0655434,6.64375e-06
0.330145,-0.0631159,7.80217e-06
0.269456,-0.0485507,8.02918e-06
0.267029,-0.0485507,8.00037e-06
0.0849637,0.0169927,3.23136e-06
0.361703,-0.067971,6.76727e-06
0.106811,0.0242753,2.38246e-06
0.111667,0.0291304,2.43198e-06
0.116522,0.0218478,2.45248e-06
-0.135942,-0.0752536,9.23358e-06
0.19663,0.0339855,7.71958e-06
0.194203,0.0315579,8.48385e-06
0.305869,0.0291304,8.06194e-06
0.211195,0.0315579,8.35449e-06
0.118949,0.0267029,8.03632e-06
-0.211195,-0.0971014,7.84217e-06
0.301014,0.0315579,5.91953e-06
0.0655434,0.0291304,2.58968e-06
0.293732,0.036413,7.44056e-06
0.315579,0.0412681,8.04074e-06
0.388405,0.0436956,2.00719e-06
0.131087,0.0461231,2.75278e-06
0.067971,0.0291304,2.14322e-06
0.131087,0.0534057,1.92962e-06
0.247608,0.0995289,7.97865e-06
0.131087,0.0655434,6.0096e-06
0.322862,0.14808,7.02795e-06
-0.225761,-0.116522,8.44936e-06
0.320434,0.160217,8.24137e-06
0.223333,0.101956,6.82673e-06
0.235471,0.116522,7.0138e-06
0.330145,0.165072,2.30651e-06
0.067971,0.0412681,1.54593e-06
0.0752536,0.104384,2.21539e-06
0.101956,0.0873912,4.88468e-06
0.140797,0.111667,5.15849e-06
0.155362,0.155362,8.58904e-06
0.0898188,0.0752536,2.28402e-06
0.0946738,0.0801086,2.6014e-06
0.14808,0.118949,7.6101e-06
0.162645,0.155362,8.76083e-06
0.220906,0.20634,6.66309e-06
0.288877,0.240326,8.85677e-06
0.296159,0.267029,7.76558e-06
-0.301014,-0.140797,9.14946e-06
0.0485507,0.0655434,3.01617e-06
0.0582608,0.106811,2.79902e-06
0.0631159,0.0971014,2.86002e-06
0.230616,0.218478,8.55668e-06
0.067971,0.106811,2.19695e-06
0.072826,0.101956,8.78594e-06
0.0825362,0.14808,7.97052e-06
-0.313152,-0.15779,9.01787e-06
0.123804,0.194203,8.3168e-06
0.150507,0.269456,7.99125e-06
0.138369,0.298587,7.45945e-06
0.109239,0.203913,8.22519e-06
0.131087,0.242753,7.39186e-06
0.155362,0.284021,7.97449e-06
0.18692,0.332572,7.96106e-06
0.0534057,0.118949,5.38569e-06
0.0388405,0.101956,3.08468e-06
-0.398116,-0.17721,8.11515e-06
0.0412681,0.223333,7.14673e-06
